route_id,vehicle_id,distance_km,duration_h,payload_kg,avg_speed_kmh,stops,temperature_c,terrain,fuel_consumption_l100km,annual_trips
T-001,FZ-001,87.4,1.8,650,48,4,12,flat,9.2,245
T-002,FZ-002,134.6,3.1,1200,43,7,12,hilly,11.8,180
T-003,FZ-003,52.1,1.2,400,43,3,12,flat,8.1,310
T-004,FZ-001,198.3,4.5,800,44,9,8,hilly,12.4,95
T-005,FZ-002,73.8,1.7,950,43,5,15,flat,10.3,260
T-006,FZ-004,316.2,7.2,2400,44,12,10,flat,15.6,48
T-007,FZ-003,41.5,1.0,300,41,2,18,flat,7.9,365
T-008,FZ-005,156.7,3.6,1800,43,8,6,hilly,13.7,130
T-009,FZ-001,28.3,0.7,250,40,2,20,urban,8.5,420
T-010,FZ-002,92.6,2.2,700,42,5,11,flat,9.8,210
